mob_arce_id,geo_point_2d,mob_arce_nb,mob_arce_typ,mob_arce_datecre
1130,"45.167760064206,5.72829159557814",3,"nouveau modèle",20120101000000
1131,"45.1724155273267,5.73679967152565",2,"nouveau modèle",20120101000000
1132,"45.1722729876365,5.73626594721972",2,"nouveau modèle",20120101000000
1133,"45.1887879728949,5.71451979057725",2,"nouveau modèle",20120101000000
1134,"45.1761888919673,5.73281765354657",2,"nouveau modèle",20120101000000
1135,"45.1901747182155,5.72982054228972",4,"nouveau modèle",20120101000000
1136,"45.1872491934859,5.71261160659325",3,"nouveau modèle",20120101000000
1137,"45.1721604967461,5.72460890150273",2,"nouveau modèle",20120101000000
1138,"45.1775120540184,5.7259832214097",1,"nouveau modèle",20120101000000
1139,"45.1756329449613,5.73835229379947",3,"nouveau modèle",20120101000000
1140,"45.1884654437955,5.72809514243744",4,"nouveau modèle",20120101000000
1141,"45.1895183330466,5.72459069859965",3,"nouveau modèle",20120101000000
1144,"45.1828034319187,5.71757900842204",6,"nouveau modèle",20140910000000
1145,"45.1841893960443,5.71744571276742",8,"nouveau modèle",20140910000000
1164,"45.1830090996241,5.71703534864853",8,"nouveau modèle",20140911000000
1184,"45.1859379210804,5.72861287187435",5,"ancien modèle",20140917000000
1204,"45.1865423582338,5.71668184824661",4,"nouveau modèle",20150728000000
1205,"45.1887897400403,5.71565763142692",3,"nouveau modèle",20150728000000
1015,"45.1887151409499,5.73019037560263",3,"nouveau modèle",20100101000000
1016,"45.1876789027031,5.71928871350142",1,"nouveau modèle",20010101000000
1017,"45.182080419699,5.73221067710841",3,"nouveau modèle",20120101000000
1018,"45.1821137828535,5.73397569839634",3,"nouveau modèle",20110101000000
1019,"45.1845334027364,5.74121715291573",2,"nouveau modèle",20110101000000
1020,"45.1828839123496,5.73565467379914",15,"nouveau modèle",20110101000000
1021,"45.1863231872235,5.71096494143372",4,"nouveau modèle",20100101000000
1022,"45.1874988092482,5.71107575730091",3,"nouveau modèle",19900101000000
1023,"45.1854735251452,5.70583491462493",3,"nouveau modèle",20110101000000
1024,"45.188437750525,5.71123696981715",3,"nouveau modèle",20110101000000
1025,"45.1889311644917,5.70569357369851",2,"nouveau modèle",20110101000000
1026,"45.1880661598794,5.70575220450394",2,"nouveau modèle",20100101000000
1027,"45.1818070565114,5.71047794310679",3,"nouveau modèle",20120101000000
1028,"45.1816953681208,5.70860480393688",3,"nouveau modèle",19900101000000
1029,"45.1917510991848,5.7125188361894",3,"nouveau modèle",20110101000000
1030,"45.1873293584292,5.71157583445233",5,"nouveau modèle",20110101000000
1031,"45.1834361523086,5.70432412138923",3,"nouveau modèle",20120101000000
1032,"45.1806978462457,5.71322072442194",2,"nouveau modèle",19900101000000
1033,"45.182763231769,5.71682030720428",3,"nouveau modèle",20110101000000
1034,"45.1892074081615,5.7066873718676",3,"nouveau modèle",20110101000000
1035,"45.1876646458234,5.71327087158185",3,"ancien modèle",19930101000000
1036,"45.187668772759,5.71320215277376",2,"nouveau modèle",19900101000000
1037,"45.1876946204084,5.7127439483121",4,"nouveau modèle",19900101000000
1038,"45.1814152996493,5.71312680874811",4,"nouveau modèle",20120101000000
