# Sensor Grenoble, France (Citizen Science project sensor.community/13222)
# https://aqicn.org/station/@60685/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-10-04T00:00:00.000Z,0,2.27,0.37,0.2,0.6,0.408,291
2020-10-05T00:00:00.000Z,0.2,7.22,0.95,0.6,1.8,0.912,297
2020-10-06T00:00:00.000Z,0.55,12.5,3.12,1.87,5.09,2.115,309
2020-10-07T00:00:00.000Z,0.3,4.8,1.3,0.82,1.75,0.734,310
2020-10-08T00:00:00.000Z,0.6,5,1.9,1.22,2.52,0.951,294
2020-10-09T00:00:00.000Z,1.52,17.55,2.98,2.25,4.59,1.805,334
2020-10-10T00:00:00.000Z,0,10.98,0.77,0.5,3.74,2.124,376
2020-10-11T00:00:00.000Z,0.2,1.5,0.78,0.6,0.93,0.231,390
2020-10-12T00:00:00.000Z,0.42,2.33,1.1,0.94,1.3,0.327,304
2020-10-13T00:00:00.000Z,1.27,19.14,2.54,2.08,3.59,1.598,380
2020-10-14T00:00:00.000Z,1.25,7.65,4.28,3.15,5.6,1.517,370
2020-10-15T00:00:00.000Z,0.8,8.33,4.65,2.64,6.03,1.913,381
2020-10-16T00:00:00.000Z,0.78,9.8,2.9,1.7,3.95,1.75,383
2020-10-17T00:00:00.000Z,2.17,6.1,3.25,2.8,3.7,0.657,384
2020-10-18T00:00:00.000Z,2.1,11.43,4.9,3.77,5.95,1.999,391
2020-10-19T00:00:00.000Z,2.2,9.6,6.05,5.11,6.65,1.439,389
2020-10-20T00:00:00.000Z,0.4,6.4,1.5,0.9,2.52,1.327,399
2020-10-21T00:00:00.000Z,0.7,19.8,1.4,1.1,1.67,0.998,389
2020-10-22T00:00:00.000Z,1.3,9.44,4.88,3.33,6.16,1.944,388
2020-10-23T00:00:00.000Z,0.1,9.4,3.12,1.82,3.9,1.563,379
2020-10-24T00:00:00.000Z,0.3,6.7,2.8,1.22,3.99,1.556,388
2020-10-25T00:00:00.000Z,0.33,4.83,2,1.2,2.52,0.795,424
2020-10-26T00:00:00.000Z,0,4.9,0.79,0.3,2.15,1.335,412
2020-10-27T00:00:00.000Z,0.2,7.67,3.33,1.29,4.53,1.703,397
2020-10-28T00:00:00.000Z,0.8,10.02,2.9,2.1,3.91,1.318,416
2020-10-29T00:00:00.000Z,0.2,8.4,3.45,1.7,4.2,1.469,413
2020-10-30T00:00:00.000Z,0.8,10.4,2.8,2.1,3.98,1.889,419
2020-10-31T00:00:00.000Z,1.9,13.75,4.25,3.27,5.92,2.122,431
2020-11-01T00:00:00.000Z,2.3,15.08,5.4,4.55,6.74,1.918,425
2020-11-02T00:00:00.000Z,2.17,21.97,6.58,4.3,15.05,5.99,397
